Datum,Anzahl_Messwerte,Windgeschwindigkeit,Windrichtung,Strahlung,Luftdruck,Temp_2m,Temp_5cm,Bodentemp_-10cm,Luftfeuchte,Niederschlagsmenge
2025-12-13,720,3.6,244.2,20,1027,2.9,2.1,4.1,98,0
2025-12-12,720,2.9,203.7,74.2,1024,5,3.3,4.6,86,0
2025-12-11,720,5.1,252.6,69.2,1023,7.9,6.8,6.5,86,0
2025-12-10,720,5.6,246.2,25.5,1019,10,9,6.7,83,0
2025-12-09,719,5.5,228.5,40.6,1016,12.3,11.3,6.8,77,0
2025-12-08,720,6.1,229.9,52.1,1014,11.1,10.2,5.4,86,0
2025-12-07,719,5.1,205.2,39.3,1011,6.8,5.9,3.6,84,0
2025-12-06,720,5.4,185.8,40.7,1010,2.3,1.2,2.2,88,0
2025-12-05,720,2.7,228.4,28.2,1010,1.4,0.3,2.5,94,0
2025-12-04,720,4.5,171.4,53.4,1010,1.2,0.4,2.3,89,0
2025-12-03,720,5.1,177,46.6,1013,1.9,1.3,3.1,84,0
2025-12-02,720,5.2,181.8,88.4,1014,2.8,2,3.1,85,0
2025-12-01,720,4.1,234,69.8,1018,3.2,2.3,4.2,85,0
2025-11-30,720,3.9,211.7,65.5,1012,6.3,5.6,4.3,88,0
2025-11-29,720,4.1,219.1,28.3,1013,5.4,4.4,4,95,0
2025-11-28,720,4.5,217.8,55,1017,4.3,3.4,2.7,83,0
2025-11-27,719,4.7,238,38.9,1021,-0,-0.9,2.5,88,0.8
2025-11-26,720,4.5,308,20.9,1014,-0.2,-0.5,2.3,98,0.6
2025-11-25,720,2.8,110.5,51.4,1003,1.6,1.3,1.8,88,0
2025-11-24,720,4.4,189.1,46.3,999,0.9,0.3,0.7,84,0.7
2025-11-23,720,4.9,185.6,108.9,1013,-3.4,-3.8,0.7,67,0
2025-11-22,719,2.9,238.1,92.1,1025,-3,-4,1.5,86,0
2025-11-21,720,3.2,277.5,43.8,1019,-2.8,-4.5,2.4,90,0
2025-11-20,720,5.3,240.4,24.7,1005,0.7,-0.2,3.9,82,0.6
2025-11-19,720,6.2,200.3,86.9,1007,1.6,1.1,4.5,72,0
2025-11-18,719,6.3,250,68.4,1016,1.5,0.9,5.7,89,0.4
2025-11-17,720,4.5,292.8,22.3,1007,2.5,1.9,7.3,98,7.2
2025-11-16,720,4.7,240.8,94.3,1006,10,9.4,8.6,79,0.3
2025-11-15,719,3.3,153.8,42.2,1012,8.6,7.3,8.6,80,0.6
2025-11-14,720,4.3,205.7,58.9,1010,14.8,12.9,8.8,48,0
2025-11-13,720,5.6,214.5,80.2,1014,14.1,12.5,8.1,52,0.3
2025-11-12,720,5.2,186.4,103.6,1017,9.1,8.1,7.3,76,0
2025-11-11,720,4.6,229.4,41.6,1015,7.1,6,7.4,87,0.1
2025-11-10,720,3.3,245.9,58.9,1015,7.5,6.9,8.2,96,1.4
2025-11-09,720,2.7,248.7,49.7,1016,6.4,6.1,7.4,91,0.4
2025-11-08,466,1.7,191.5,128.7,1014,6.6,6.7,6.8,88,0
2025-11-07,451,4.8,176.9,200.8,1012,7.8,7.5,7.2,79,0
2025-11-06,720,4,162.7,141.9,1014,8.8,7.2,7.6,72,0
2025-11-05,720,4.6,176,124.6,1021,10.9,9.7,8.5,65,0
2025-11-04,720,4.7,216.3,103.4,1024,10,9.3,9,76,0
2025-11-03,720,6,261.1,79.5,1019,8.1,7.5,9.2,86,2.9
2025-11-02,720,3.5,229.2,35.7,1013,11,9.9,9.8,87,2.2
2025-11-01,720,4.4,187.9,116.5,1014,12.5,11.5,9,71,0.4
2025-10-31,720,4,189,120.2,1016,8.3,7.3,7.6,69,0
2025-10-30,720,7.7,241.6,74.2,1007,9.9,8.5,8.8,71,1.5
2025-10-29,720,4.7,218,117.7,1008,10.2,9.4,8.6,80,0.5
2025-10-28,720,8.9,258,48,1006,7.5,6.5,7.9,89,5.8
2025-10-27,719,9.3,254.7,79.3,998,5.8,4.9,7.7,85,5
2025-10-26,59,5.9,248.5,0,1000,7.9,6.6,9.2,90,0
2025-10-25,720,7,237.2,103.6,1000,8.3,7.8,9.1,76,0.4
2025-10-24,720,8.4,251.7,70.1,999,7.8,6.9,9.7,77,0.5
2025-10-23,720,6.6,201.4,38.2,992,12,10.7,11,83,3.3
2025-10-22,720,4.3,192.5,67.6,1001,12,11.2,10.9,87,1.7
2025-10-21,719,6.1,194.6,169.8,1001,11.9,11.4,10.1,75,1
2025-10-20,719,7,176.5,134,1007,8.8,8.4,8.8,66,0
2025-10-19,720,3.7,161.1,147.7,1020,5.5,5,8.7,67,0
2025-10-18,720,3.6,236.5,164.7,1026,6.2,6.3,10.8,81,0
2025-10-17,720,4.5,289.3,77.2,1021,9.4,9.3,11.8,94,3.5
2025-10-16,719,3.9,263.8,53.9,1022,9.7,9.4,11.9,94,0.1
2025-10-15,719,2.1,265.5,93.6,1025,10.6,10.6,12.1,93,1
2025-10-14,720,4.4,271.7,62.7,1024,8.6,7.9,11.1,98,4.9
2025-10-13,720,2.7,233.2,144.7,1026,11.5,11.4,12.9,90,2.5
2025-10-12,720,4.9,281.9,76.1,1028,11,11.1,12.5,89,0.6
2025-10-11,719,5.4,281.4,35.2,1031,11.3,10.8,12.4,93,0
2025-10-10,720,6.1,281.3,43.9,1029,10.6,10,12.3,94,1
2025-10-09,719,3.5,295.5,71.7,1023,11.6,11.2,12.9,95,2
2025-10-08,719,3.1,269.8,36.4,1022,12.6,12.2,12.6,100,3.6
2025-10-07,720,3.2,290.2,56.4,1024,11.5,11,11.8,99,0.4
2025-10-06,719,7.8,283.9,72.9,1017,9.3,8.9,10.7,99,8.6
2025-10-05,720,7.6,258.4,108.9,1009,8.9,8.3,10,85,4
2025-10-04,720,7.9,206.5,66.5,1005,8.7,7.7,9.6,77,4.6
2025-10-03,720,3.2,156.7,172.3,1023,7.6,7.3,9.9,75,0
2025-10-02,720,2.3,128.2,200.2,1030,7.4,6.7,10.6,85,0.1
2025-10-01,720,2.6,70.1,56.6,1030,7.1,6.7,11.3,91,0.1
2025-09-30,720,3.9,112.5,260.7,1025,9,9.7,12,74,0
2025-09-29,720,3.4,128.6,244,1023,10.1,9.7,12.4,72,0
2025-09-28,720,2.8,102,182.4,1023,13.5,12.7,13.8,78,0
2025-09-27,720,3.6,115.7,88.5,1023,13.5,12.9,13.8,84,0
2025-09-26,720,4,89,63,1023,10.2,10.2,12.7,91,0.1
2025-09-25,720,5.2,84.3,26.3,1022,7.4,6.7,11.9,96,14.4
2025-09-24,719,7.3,74.2,135.5,1023,9.7,9.7,13.5,78,0
2025-09-23,720,3.8,63.5,268.5,1023,10.8,11.9,14.9,82,0
2025-09-22,720,3.9,81.9,32.4,1018,9.7,9.1,15.4,99,24.1
2025-09-21,720,4.7,254.4,267.7,1014,22.1,22.8,19.7,60,1.4
2025-09-20,719,4.4,198.9,286,1019,23.9,23.8,18.6,52,0
2025-09-19,720,3.7,229.7,291.1,1025,21,21.4,18.1,64,0
2025-09-18,720,5.4,254.2,227.7,1023,17.7,18,16.9,75,1.9
2025-09-17,720,5.8,258.7,183.8,1021,13.5,13.5,15.3,72,0
2025-09-16,720,8,255,184.8,1016,14.1,13.9,15.5,66,1.2
2025-09-15,720,6.2,222,208.8,1012,17.6,17.2,16.7,75,3.4
2025-09-14,720,4.1,229.1,120.3,1015,13.7,13,16.1,84,4.5
2025-09-13,719,4.3,176.5,237,1019,15.5,15.5,16.3,70,0
2025-09-12,720,4.9,226,238,1018,15.4,15.2,16.6,66,0.4
2025-09-11,720,4.8,233.7,234.3,1010,16.3,16.4,17.6,76,0.2
2025-09-10,720,2.4,227.5,175.4,1011,16.3,16.3,18.1,80,3.3
2025-09-09,720,2.9,165.2,249.6,1015,17.4,17.7,17.8,70,0
2025-09-08,720,3.2,114.8,314.5,1018,16.8,17.2,17.7,65,0
2025-09-07,720,3.6,133,352.4,1022,16.8,18,18.3,65,0
2025-09-06,720,2.7,184.6,286.5,1025,16.5,17.6,18.9,75,0
2025-09-05,720,4.1,260.7,133.7,1019,16.8,16.7,19.4,83,5.5
2025-09-04,720,3.5,200.9,320.2,1015,22.3,22.4,20,59,0
2025-09-03,720,4.2,201.7,311.4,1014,18.3,18.7,19,69,0
2025-09-02,719,2.3,242.7,140.5,1011,16.7,16.9,19.4,91,19.3
2025-09-01,719,3.6,203.6,329.1,1010,19.9,20.8,19.9,62,0
2025-08-31,720,3.1,197.8,371.4,1013,19.2,20.7,19.7,60,0
2025-08-30,719,4,253.2,303.5,1009,18.5,19.8,20.2,66,0
2025-08-29,720,2.5,227.4,170.1,1005,18.2,18.3,20.2,85,7.1
2025-08-28,720,3.4,219.5,199.5,1007,21.1,21.7,20.9,75,3.6
2025-08-27,720,4.1,203.1,251.5,1012,21.9,22.1,20.2,57,0.4
2025-08-26,720,3.2,223.7,388.3,1014,17.7,19.6,19.1,53,0
2025-08-25,720,3.6,248.1,367.9,1018,15.6,16.4,18.4,56,0
2025-08-24,720,3.7,266.4,299.8,1020,13.3,14.6,17.9,65,0
2025-08-23,720,5.3,277.4,248.1,1016,12.7,13.5,18.6,70,0.7
2025-08-22,720,4.7,291.3,205.6,1015,13.8,14.5,19.1,66,0
2025-08-21,720,2.8,168.1,295.4,1010,17.9,18.3,20.8,65,0
2025-08-20,720,3.2,176.2,397.2,1011,20.4,22.3,22.1,62,0
2025-08-19,720,2.5,212,411,1015,20.6,22.5,21.8,57,0
2025-08-18,720,2.8,135.7,421.8,1021,17.7,20.1,21.1,63,0
2025-08-17,720,4,292.3,260,1020,15.1,16.5,21.2,74,0
2025-08-16,720,3.5,302.7,194.7,1021,20,20.4,22.6,73,0
2025-08-15,720,2.9,268.7,391.4,1021,27.6,28.8,24.7,51,0
2025-08-14,720,2.6,137.1,398.7,1020,27.1,28.3,23.9,50,0
2025-08-13,720,3.4,175.9,412.8,1018,26.2,27.7,22.7,46,0
2025-08-12,719,3.7,162.1,432.6,1021,22.4,23.7,21.5,44,0
2025-08-11,720,2.9,135.6,441.7,1026,19.7,21.5,21.1,56,0
2025-08-10,720,3.9,283,369.3,1026,19.9,21.1,21.6,62,0
2025-08-09,720,3,196.8,368.4,1021,23.3,23.9,21.4,52,0
2025-08-08,719,3.2,256.6,222.5,1020,21.3,21.1,20,50,0
2025-08-07,720,4,182.9,419.6,1020,19,20.2,19.9,55,0
2025-08-06,720,4,261.5,415,1024,16,17.9,19.5,66,0
2025-08-05,720,4.3,249.8,95.8,1018,16.6,16,18.8,88,11.3
2025-08-04,720,5.3,244.8,282.7,1018,17.4,18.9,19.4,71,0.3
2025-08-03,717,4.8,273.6,201.4,1017,15.6,16.9,19.3,78,0.3
2025-08-02,720,2.8,248,291.6,1012,17.2,18.9,19.7,74,0
2025-08-01,720,4,258.4,247.6,1010,16.9,18.7,19.4,84,8.6
2025-07-31,720,4.8,243.7,239.6,1014,15.1,15.7,18.9,84,2.6
2025-07-30,720,3.6,248.4,228.7,1015,15.5,16.7,19.3,78,3.6
2025-07-29,720,5,282.9,295.7,1015,16.3,18.3,19.8,75,2.1
2025-07-28,718,4.6,296.1,74.9,1011,15.8,15.6,19.1,99,37.5
2025-07-27,719,2.8,247.4,301.3,1012,19.1,21.6,21.1,75,11.1
2025-07-26,720,2.4,236.3,86.4,1016,17.1,17,20.3,87,0.3
2025-07-25,719,2.7,260.1,328.8,1015,20.9,23,21.7,69,0
2025-07-24,720,2.3,240.6,236,1014,19.1,20,20.6,68,0
2025-07-23,720,5.7,253.6,309.4,1012,19.1,19.7,20.6,69,0.1
2025-07-22,720,6.1,244.1,303.9,1009,16.9,17.5,20.1,81,5.2
2025-07-21,720,4.4,255.4,75.5,1007,17.9,17.6,20.8,87,16.3
2025-07-20,719,2.8,168,363,1008,24.4,26.2,23.2,58,0
2025-07-19,720,2.4,147.8,414.8,1012,21.7,24.8,22.4,64,0
2025-07-18,720,3.4,243.3,232.2,1014,18.6,20.2,20.8,85,1.5
2025-07-17,719,5.8,280.8,289,1014,15.9,18.3,20.1,85,11.8
2025-07-16,720,4,243.5,240.1,1014,15.1,15.7,19.6,81,3.9
2025-07-15,720,3.8,267.5,240.3,1017,18.5,19.5,21,81,6.9
2025-07-14,720,4.9,243.6,360.4,1015,21.2,23,21.5,61,0
2025-07-13,720,3.9,241.2,308.6,1011,18,19.6,20.7,84,4
2025-07-12,720,4.9,264.4,83,1011,14.1,13.8,18.7,96,8.9
2025-07-11,720,4.1,273,306.1,1016,17.7,19.5,20.7,66,0.1
2025-07-10,717,4.6,261.9,386.2,1019,17.8,21.3,21.8,67,0.6
2025-07-09,720,5.5,287.4,187.5,1017,14.7,15.7,20,79,2.6
2025-07-08,720,5,297.7,268.5,1010,15,17.3,21.6,74,2
2025-07-07,720,4.6,261.6,319,1004,18.4,20.9,23.7,65,0
2025-07-06,720,4,229.5,367.2,1009,21.9,24.3,24.3,41,0
2025-07-05,720,4.5,236.3,493.8,1017,22.7,25.7,24.3,40,0
2025-07-04,720,2.6,181.6,458.6,1026,19,21.8,22.8,51,0
2025-07-03,720,4.5,289,196.9,1022,20.3,20,23.2,66,0.5
2025-07-02,720,3.9,188.6,514.2,1017,29.1,32.9,26.7,34,0
2025-07-01,720,3.2,161.9,531,1020,24.9,28.7,24.9,35,0
2025-06-30,720,2.8,206.9,539.8,1022,21.5,25.1,24.3,44,0
2025-06-29,720,4.5,293.5,388.2,1023,24.3,27.3,25,63,0
2025-06-28,720,4.7,278.5,505.4,1024,22.3,25.8,23.4,62,0
2025-06-27,720,5.5,281.5,243,1021,18,19.2,21.7,78,0.7
2025-06-26,720,5,209.7,416.4,1014,23.7,25.4,23.9,60,0.7
2025-06-25,720,6.1,256.6,471.9,1013,23,25.6,23.4,56,0
2025-06-24,720,5.2,264.7,416.1,1013,18.1,21,21.5,58,0
2025-06-23,719,5.8,253.6,365,1011,21.2,22.4,22.4,62,1.9
2025-06-22,720,3.9,182.2,520.9,1019,24.2,27.2,23.1,41,0
2025-06-21,720,2.6,155.5,529.6,1024,20,23.4,21.8,50,0
2025-06-20,720,2.8,277.5,542.2,1026,17.2,20.2,21.3,57,0
2025-06-19,719,5.2,295.7,491.5,1024,18.5,21.8,22.3,59,0
2025-06-18,719,3.6,270.5,459.2,1023,21.6,23.8,22.2,61,0
2025-06-17,720,2.7,251.5,473.5,1026,18.8,21.7,21.2,68,0
2025-06-16,720,5.2,295,286.5,1025,16,17.6,20.9,82,2.7
2025-06-15,719,4.6,249.5,409.9,1018,23.2,25.7,22.5,63,7.2
2025-06-14,720,3.8,159.3,526.3,1022,21.8,24.3,21.3,46,0
2025-06-13,720,3.7,119.5,530.5,1025,19.4,22.3,20.5,54,0
2025-06-12,720,3.1,125,529.6,1023,16.8,19.6,19.3,59,0
2025-06-11,719,4.5,285.9,339,1021,13.9,15.9,18.5,76,0
2025-06-10,720,4.8,237.7,259.7,1017,15.5,16.3,17.7,67,2.4
2025-06-09,720,5.7,259.6,405.6,1022,13.1,15.5,17.9,65,0
2025-06-08,720,6.9,243.9,293.4,1012,13.7,14.3,18,77,5.5
2025-06-07,720,4.7,226,225.1,1011,17.1,17.6,19,73,0
2025-06-06,720,6.6,232.7,328.5,1011,18.5,19.5,19.8,68,0
2025-06-05,720,4.9,235.8,355.4,1012,18.2,19.6,20.3,70,0.2
2025-06-04,720,3.4,240.6,267.6,1011,19.7,20.6,20.4,73,1.7
2025-06-03,720,2.6,205.1,410.7,1015,18.6,21.5,20.7,64,0
2025-06-02,720,2.8,255.8,288.5,1016,17.5,19.3,20.4,78,0.5
2025-06-01,720,4.3,232,321,1015,18.9,20.2,21.1,75,4.5
2025-05-31,720,3.2,245.4,454.1,1019,21.7,24.6,21.1,64,0
2025-05-30,720,5,265.7,379.9,1020,18.2,20.2,19,74,1.6
2025-05-29,720,5.2,289.6,386.3,1020,13.5,16.4,17.4,78,1.1
2025-05-28,720,6.1,247,147.9,1014,13,12.8,15.7,90,15.4
2025-05-27,720,4.2,237.1,332.8,1019,15.3,16.9,16.8,59,0
2025-05-26,720,3.9,278.6,376.3,1015,15.1,17.8,17.9,74,0.8
2025-05-25,720,4.7,226.1,196.7,1013,12.3,12.3,14.9,80,6
2025-05-24,720,4.2,258.8,459.7,1016,11.4,14.3,15.5,55,0
2025-05-23,720,4.8,263.2,447.3,1014,8.9,11.4,14.4,60,0
2025-05-22,720,4.3,292.6,216.7,1010,10.3,11.6,15.3,67,0
2025-05-21,720,4.5,261.5,441.3,1011,15.8,18.6,17.2,61,0
2025-05-20,720,1.6,179,332.2,1017,14.9,17.9,16,76,0
2025-05-19,719,4.4,296.1,101.2,1017,10.7,11.4,13.8,86,0
2025-05-18,720,4.8,287.5,260.2,1012,9,11,14.2,90,3.8
2025-05-17,720,5.2,258,192.5,1012,9.6,11,14.3,80,2.3
2025-05-16,720,5.1,279.9,239.2,1015,9.6,11.2,14.6,74,0.7
2025-05-15,719,6.3,283.7,274.4,1013,10,11.8,15.4,63,0.4
2025-05-14,720,4.6,270.8,468.4,1014,14.7,18,16.6,50,0
2025-05-13,720,3.1,93.1,499.4,1019,12.7,15.2,15.6,49,0
2025-05-12,720,4.4,100.3,506.6,1016,11.2,13.7,15.3,50,0
2025-05-11,720,3.2,86.5,488.6,1017,12.6,15.9,15.8,64,0
2025-05-10,719,4,207.5,416.7,1020,12.7,15.3,14.9,54,0
2025-05-09,720,2.6,125,427.9,1020,10,12.4,13.8,51,0
2025-05-08,533,5,78.5,488.3,1017,8.5,11.7,13.5,52,0
2025-05-07,720,3.6,114.3,265.2,1018,9.6,11.3,14.3,65,0
2025-05-06,720,2.4,181.3,478.7,1016,8.7,11.6,14.5,61,0
2025-05-05,720,4.3,61.2,398.9,1014,7.5,9.4,14.4,71,0
2025-05-04,720,4.9,299.3,259.8,1009,8.9,10.4,15.5,78,0.8
2025-05-03,720,3.7,230,180,1009,14.4,15,16.9,89,8.8
2025-05-02,720,4.7,233.1,414.1,1015,20.4,22.3,18.6,54,5
2025-05-01,720,2.7,126.8,450.3,1021,18,20.7,17.7,60,0
2025-04-30,720,1.9,170.6,433.1,1024,16.3,18.7,16.7,64,0
2025-04-29,720,2.5,265.9,446.7,1025,14.9,17.3,15.5,54,0
2025-04-28,720,2.8,154.6,447.1,1026,13.7,15.9,14.5,52,0
2025-04-27,720,3.5,109.5,463.2,1025,10.5,12.2,13.2,54,0
2025-04-26,720,4.2,77.6,458.2,1023,9.7,11.3,12.8,63,0
2025-04-25,720,3.5,66.6,146.8,1017,9.7,9.9,12.4,89,0.2
2025-04-24,719,2.1,178.1,47.4,1013,10.5,9.9,12,93,11.5
2025-04-23,720,3,122.4,308.5,1016,13.3,14.2,13,67,0
2025-04-22,720,3.7,245.7,239.6,1017,12,12.2,12.5,73,0
2025-04-21,720,2.9,217.2,111.6,1011,11.9,11.1,13.1,84,2.2
2025-04-20,720,2.8,171,367.1,1007,14.4,16.2,13.3,71,0
2025-04-19,720,2.8,212.2,101.5,1009,7.8,7.5,11.2,90,1.7
2025-04-18,720,4.8,273.3,46,1010,8,7.8,12.1,99,9.9
2025-04-17,720,4.7,199.4,280.4,1006,17.8,18,14.8,62,0
2025-04-16,720,4.5,156.8,380.5,1008,18,18.5,14.5,64,0
2025-04-15,720,5.4,149.1,184,1003,14.6,14.5,12.9,76,0.8
2025-04-14,720,3.1,177.2,268.7,1010,14.7,15.7,13,70,0
2025-04-13,720,4.7,211.7,235.9,1007,15.2,15.2,12.1,59,0.1
2025-04-12,720,3.2,192.4,354.5,1014,13.8,15.4,11.9,60,0
2025-04-11,720,6.7,284.2,218.1,1017,8.6,9.2,9.5,72,0
2025-04-10,719,5.6,292,218.9,1023,6.8,7.8,9.4,77,0
2025-04-09,720,3.7,271.4,251.4,1021,8,9.3,9.6,63,0
2025-04-08,720,2.8,252.4,267.2,1025,7,8.1,9,61,0
2025-04-07,720,3.4,279.6,145.7,1024,4.3,4.5,7.1,59,0
2025-04-06,720,4.8,114,286.4,1023,0.7,1.5,7.3,60,0
2025-04-05,720,5.4,130.2,297.9,1016,7.2,8,10.1,63,0
2025-04-04,720,2.6,162.9,357.6,1020,12.9,13.9,10.9,61,0
2025-04-03,720,3.4,102.7,362.2,1025,11.3,11.5,9.4,58,0
2025-04-02,719,3.8,71.6,288.3,1025,8.5,8.8,8.5,74,0
2025-04-01,720,4.1,66.8,194.7,1026,6,6.3,7.8,82,0
2025-03-31,673,6,300,67.1,1019,4.4,4.3,7.1,99,10.2
2025-03-30,720,6.1,260.1,151.5,1012,5.7,5.2,7.2,82,4.3
2025-03-29,720,4.4,279.2,98.4,1012,7.2,7.1,8.4,79,0
2025-03-28,720,3.2,136.2,342.3,1012,8.6,9.7,8.9,70,0
2025-03-27,720,2.4,226.2,180.9,1020,6.1,6.9,8.4,88,0
2025-03-26,719,3.4,277.9,59.1,1019,5.3,5,7.6,95,1.6
2025-03-25,720,3.1,271.5,168.3,1016,8.8,8.5,8.7,83,1.5
2025-03-24,720,2.7,266.1,146.4,1011,9.6,9.5,8.6,81,0
2025-03-23,720,3.4,151,179.9,1005,9.1,8.8,8.1,77,0.8
2025-03-22,720,5.7,112.2,292.5,1010,10.9,11,7.8,46,0
2025-03-21,720,3.9,139,293.7,1019,12.1,12.5,8,50,0
2025-03-20,720,4.2,218.5,308.8,1024,10,10.6,6.4,43,0
2025-03-19,720,4.1,169.8,314.2,1027,6.7,7.7,4.8,40,0
2025-03-18,720,2.6,153.4,307.4,1030,1.7,2.8,3.6,48,0.6
2025-03-17,720,5.3,101.9,281.3,1025,1.1,1.7,4.4,61,0.6
2025-03-16,720,3.2,142.3,274.6,1017,2.2,3,4.3,74,0
2025-03-15,720,5.2,69.4,245,1015,2.7,3.2,5,83,0
2025-03-14,720,1.9,154.7,43.7,1005,1.3,0.6,3.6,96,3.8
2025-03-13,720,2.9,212.5,35.6,996,1.5,1.1,4.8,96,1.8
2025-03-12,720,2.4,161.4,30.7,998,3.3,2.8,6,96,3.5
2025-03-11,720,3.7,247.6,178.5,1000,9.4,9.4,7.4,71,0
2025-03-10,720,2.8,236.4,231.1,1000,10,10.3,7,61,0
2025-03-09,720,2.6,133.7,247.3,1006,10.7,10.7,6.6,54,0
2025-03-08,720,3.4,114.9,249.2,1014,9.8,10,6.3,58,0
2025-03-07,720,3.3,138.4,242.8,1019,10.4,10.5,5.9,55,0
2025-03-06,719,3.7,223.4,247,1021,11,10.9,5.2,47,0
2025-03-05,720,3.8,214.5,255.5,1024,9.4,9.6,3.9,39,0
2025-03-04,720,3.3,233.7,228.4,1026,5.8,5.9,3.1,44,0
2025-03-03,719,3.4,243.4,236.5,1028,3.5,4,3,65,0
2025-03-02,720,3.8,275.3,161.2,1032,1.7,1.9,3.4,87,0
2025-03-01,720,3.8,238.5,54.4,1028,1.2,1,3.5,97,3.6
2025-02-28,719,3.7,264,103.8,1020,2.6,2.5,3.8,86,0.7
2025-02-27,720,4.1,236.3,140.5,1016,4.5,4.4,5,84,0.1
2025-02-26,719,4.7,226.9,98.5,1013,5.9,5.7,5.5,90,1.4
2025-02-25,318,3.3,137.5,78.6,1013,8.7,8.6,6.5,81,3
2024-12-23,309,6.7,257.9,27,1004,0.4,-0.2,2.7,99,1.7
2024-12-22,715,7.5,249.6,23.5,998,3.9,3,3.6,89,4.2
2024-12-21,720,7.1,234.3,53,1014,2.8,2.2,2.7,82,0.5
2024-12-20,720,7.8,271.8,33.4,1013,2.4,1.7,4.2,90,0.6
2024-12-19,719,7.9,238.9,21.3,1001,9.5,8.6,6,80,4.7
2024-12-18,720,7.1,231.2,33.6,1016,8.7,7.7,4.7,66,0.2
2024-12-17,720,6.8,259.8,32.9,1026,7,6.4,4.8,84,0
2024-12-16,720,10.4,258.9,16.8,1025,6.6,6,4,94,0.1
2024-12-15,719,9.6,265.2,32.3,1021,2,1.4,1.6,95,2.6
2024-12-14,720,6,243.5,12.5,1016,-0.9,-1.4,0.7,90,0
2024-12-13,476,2.7,163.4,54.4,1027,-1.6,-2.2,1.2,91,0.1
2024-12-12,452,1.7,250.2,22.3,1029,-0.8,-0.8,2.3,99,0.1
2024-12-11,720,2.1,189.6,15.8,1028,-0.3,-0.6,2.4,100,0.7
2024-12-10,720,5.5,60.3,8.4,1026,0.1,-0.3,2.5,100,3.1
2024-12-09,720,5.3,49.3,7.3,1019,1,0.5,3.2,100,3.2
2024-12-08,720,3.4,116.1,17.4,1008,3.1,2.5,3.8,97,1.1
2024-12-07,720,6,210.9,38.4,1005,3.6,2.9,3.8,94,3.4
2024-12-06,719,7.6,232.8,14.1,1004,3.5,2.8,3.2,95,15
2024-12-05,720,5.3,217.2,84.4,1021,1.7,1.5,2.7,82,0
2024-12-04,720,4.4,258.5,16.1,1022,1.5,0.8,3.5,99,3
2024-12-03,720,4.8,250.3,51.8,1015,5,4.3,4.4,92,2.5
2024-12-02,719,4,197.5,27.2,1016,5.6,4.2,2.7,74,0.7
2024-12-01,720,4.1,182.7,91.8,1024,3.1,2.1,2,67,0
